Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
4480,Australia,"One of the plusses to having a cash-flow brand like Yellow Tail in the portfolio is that it gives the owners the opportunity to properly age their high-end wines prior to release. At 10 years old, this has acquired a veneer of silkiness and elegance that enfolds the cassis and red-currant fruit. There's no shortage of smoky, vanilla and brown-sugar inflected oak either. Drink now–2025.",1919,93,100.0,South Australia,Wrattonbully,,Cabernet Sauvignon,Casella
4502,Italy,"Aromas recall fennel, grilled herb, leather, mocha and a whiff of balsam. Reflecting the heat of the vintage, the palate is already evolved but still shows dried black cherry and black pepper. Drink through 2017.",Vigna Rionda,90,129.0,Piedmont,Barolo,,Nebbiolo,Luigi Oddero & Figli
4505,Italy,"Leather, truffle, black cherry, grilled herb and a whiff of mocha lead the nose on this structured but straightforward wine. The palate is still rather closed but delivers crushed red cherry, white pepper and grilled herb alongside fresh acidity and young, raspy tannins that need time to soften. Drink 2018–2028.",Paiagallo,90,135.0,Piedmont,Barolo,,Nebbiolo,Mirafiore
4512,Italy,"Aromas of this brawny wine suggest black plum, berry, violet, leather and dill. Notes of licorice, tobacco and black pepper back up the sour cherry fruit. Big with round tannins, this is just reaching its ideal drinking window. Drink through 2019.",Bricco delle Viole Riserva,90,105.0,Piedmont,Barolo,,Nebbiolo,Viberti
4751,US,"Dried herb, dust and compost provide a dark underbelly in this vineyard-designated varietal wine. It's layered with caramel and toffee notes that are complemented by bright acidity and further freshened by sparks of pomegranate and cassis.",Out of Sight Vineyard,93,125.0,California,Napa Valley,Napa,Cabernet Sauvignon,Flora Springs
4752,Australia,"Full-bodied, rich and chewy, this is a big, bold wine. Ample oak frames black cherry and cassis fruit, adding hints of vanilla and dark chocolate to the fudge-like impression. Warmth suffuses the palate, but doesn't quite progress to full-blown high-alcohol heat. There's no doubting its impressive intensity and ripeness. Drink now–2025.",Velvet Glove,93,185.0,South Australia,McLaren Vale,,Shiraz,Mollydooker
4756,France,"With swathes of delicious herbal and green Sauvignon Blanc fruit just delicately underpinned by the wood aging, this is a wine that is rich while remaining so crisp. It is the tangy grapefruit and crisp texture that will allow this wine to age. Drink from 2020.",Pavillon Blanc du Château Margaux,93,150.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Margaux
4947,Italy,"Made solely with Sangiovese, this opens with aromas of roasted coffee beans, toasted oak and blackberry jam. The warm, jammy palate offers black cherry extract, licorice, clove and black pepper alongside massively stringent tannins that leave the palate feeling roughed up and dry.",Suolo,87,165.0,Tuscany,Toscana,,Sangiovese,Argiano
5093,France,"Rounded and rich, this single-vineyard wine is concentrated without losing a touch of its beautiful fruit. It has a fine balance between fruit and acidity as well as a tense line of minerality and tight texture. Drink this impressive wine from 2024.",,93,140.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Le Carré
5094,US,"This is a blockbuster of a wine, impressive in its smoky oak and crisp black currant brightness. Soft, integrated tannin supports a full-bodied, lush palate that has plenty of length and breadth, seasoned with black licorice, pepper and clove.",,93,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Covenant
5241,Italy,"Not very expressive, this shows subdued aromas that recall coconut, toasted oak, espresso and raw, red berry. The palate delivers red berry, licorice, mocha and vanilla alongside mild tannins. It's already surprisingly accessible. Drink 2015–2020.",Briccotto,89,250.0,Piedmont,Barolo,,Nebbiolo,Domenico Clerico
5248,Italy,"Aromas include rose petal, grilled herb, forest floor, coffee and ripe berry. The palate is still rather closed but offers black cherry, vanilla and espresso alongside astringent tannins that give it an abrupt, drying finish.",Cerretta,89,103.0,Piedmont,Barolo,,Nebbiolo,Ca'Romè
5252,Italy,"A blend of Syrah and Alicante, this opens with aromas of underbrush, toasted wood, espresso and a whiff of exotic spice. On the palate, the fruit is almost completely dried up, leaving prune and oak-driven sensations of coffee and licorice alongside drying tannins.",Essenzia di Caiarossa,87,180.0,Tuscany,Toscana,,Red Blend,Caiarossa
5326,Spain,"Creamy oak aromas shout “vanilla” and “wood resin” in full voice. This is a rough wine with stampeding tannins. Toasty boysenberry flavors are more pounding than elegant, while this tastes of bitter chocolate on an aggressive finish. Give this five years and it may show better but now it's massive and unsettled.",First Label,90,110.0,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Fuentespina
5377,France,"Rounded and rich, this single-vineyard wine is concentrated without losing a touch of its beautiful fruit. It has a fine balance between fruit and acidity as well as a tense line of minerality and tight texture. Drink this impressive wine from 2024.",,93,140.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Le Carré
5392,Italy,"Made from 100% Merlot grapes, this boasts ripe red berry, cassis, espresso, vanilla and chopped mint aromas. The densely concentrated palate doles out ripe cassis, licorice, tobacco and sage flavors, blanketed in velvety tannins. Drink through 2022.",Messorio,93,225.0,Tuscany,Toscana,,Merlot,Le Macchiole
5543,Italy,"Aromas of fresh violet, blue lilac, mint, menthol and orange zest take center stage. The ethereal fragrance doesn't carry over to the palate however, which displays oak extract, dried cherry, espresso, dried sage and roasted coffee bean alongside bitterly astringent wood tannins that dry out the mouth and generate an abrupt finish.",Aeroplanservaj,89,110.0,Piedmont,Barolo,,Nebbiolo,Domenico Clerico
5676,Spain,"Aromas of cola nut, bacon, blackberry, licorice and wood smoke announce a raw rugged palate that's not nearly as plump and lush as it normally is: a clear reflection of the cool 2013 vintage in Rioja. Dry peppery black-fruit flavors finish with toasty oak and licorice notes. Although rough and rugged now, this should improve little by little through about 2030.",Finca El Bosque,93,152.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
5919,Italy,"Made of 50% Cabernet Sauvignon, 40% Syrah and 10% Teroldego, this boasts alluring ripe black currant and white pepper aromas, with a whiff of graphite. The firm palate offers juicy blackberry, black plum and tobacco notes, held together by polished tannins. Enjoy now–2025.",I Castagni,92,118.0,Tuscany,Bolgheri Superiore,,Red Blend,Michele Satta
6005,Spain,"Gorgeous aromas of toasty oak, wood smoke, minerals and layered black fruits feed into a concentrated, thick palate that demands a knife and fork for dissection. Flavors of toast, vanilla bean, woodspice, bacon, mint and blackberry are lush. Give this beauty another couple of years, then drink through 2022.",Malleolus de Valderramiro,97,150.0,Northern Spain,Ribera del Duero,,Tinto Fino,Emilio Moro
6006,France,"With its strongly mineral-textured base, this is a complex, impressive wine. It has fruit weight with lychees, mangos and spiced pears along with acidity that gives the wine just the lift it needs. Power and style go hand-in-hand in this wine. Drink from 2019.",Clos Saint Urbain Rangen de Thann Grand Cru,96,120.0,Alsace,Alsace,,Gewürztraminer,Domaine Zind-Humbrecht
6022,US,"Silky on the palate, this offers exotic aromas of orange blossom and spicy cardamom. Juicy in fresh cherry, it combines structured elegance and plenty of power, amid a mouthwatering quality that's seductively delicious and yet just begs the question of how much more nuanced the flavors will be in time. Drink through 2022.",Williams Selyem Estate Vineyard,95,105.0,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
6061,France,"This is a ripe and tropical wine, complex with wood aging. It is warm, intensely rich and piled with mango and pineapple flavors. The acidity and crispness are well behind this smooth, creamy wine. Drink from 2022.",,92,160.0,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Pape Clément
6096,Germany,"Whiffs of blackberry, violet and molasses are intoxicating in this intensely ripe, rich Spätburgunder. The palate is a bit heavy in pulpy black-fruit flavors, but a stream of cranberry acidity and a musky floral note add levity and grace. It finishes briskly, with just a murmur of tannin.",Schlossberg R  Erste Lage GG,88,124.0,Baden,,,Spätburgunder,Huber
6231,Italy,"At first closed, this eventually opens up in the glass to reveal exotic spice, blue flower, espresso and dried blackberry. The palate is a bit shy but shows black cherry, mocha and vanilla alongside drying tannins.",Bricco di Treiso,89,100.0,Piedmont,Barbaresco,,Nebbiolo,Pio Cesare
6269,US,"This luxurious and well-mannered wine was aged in a new but un-toasted French cask. Solid structure supports its ample fruit flavors and full body, lending balance. Bright acidity and moderate tannins add texture on the palate, framing its ripe black cherry, blueberry and dark chocolate flavors nicely.",Grand Reserve,90,100.0,California,Amador County,Sierra Foothills,Barbera,Renwood
6302,Germany,"A sweet trail of orange marmalade percolates through this succulently sweet wine. On the midpalate, savory tones of smoke, nuts and bruised apple add shades of complexity, but the finish is pure and pristine, a shower of lemon and honey that goes on endlessly.",Kiedrich Gräfenberg Beerenauslese,94,365.0,Rheingau,,,Riesling,Robert Weil
6308,US,"A 100% Cabernet Sauvignon from the M5 block of Stagecoach Vineyard, the producer's own estate, this offers notes of pipe tobacco and tar, with shades of pencil lead and cedar bearing down on the palate. It's mouthfilling, with ample acidity showing through in the background followed by a long finish. Cellar through 2026.",Stagecoach Vineyard M5,94,150.0,California,Napa Valley,Napa,Cabernet Sauvignon,Krupp Brothers
6311,Spain,"Graphite, maple and other oaky aromas dominate this lush, pitch-black Tinto Fino. A chewy, dense mouthfeel is rich as an oil baron, while oak-driven flavors of vanilla and baking spices accent blackberry and cassis. On the finish, this is monster-sized and full of blue-fruit deliciousness. Drink through 2020.",Malleolus de Sanchomartín,94,179.0,Northern Spain,Ribera del Duero,,Tinto Fino,Emilio Moro
6319,France,"Zind-Humbrecht owns some great Grand Cru vineyards, perhaps none more so than the Clos Saint Urbain. This luscious, rich, sweet wine shows both power and intensity without losing any sense of structure. It's young, needing many years to show off its full potential. Drink from 2018.",Clos Saint Urbain Rangen de Thann Grand Cru,94,105.0,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht
6323,Germany,"Exuberant floral tones persist from nose to finish in this luminously sweet Riesling. It's feather light on the palate, yet pineapple and mango flavors are unctuous and concentrated. A spray of tangerine acidity extends the finish endlessly.",Erdener Prälat Goldkap Beerenauslese,94,350.0,Mosel,,,Riesling,Dr. Hermann
6325,US,"A 100% Cabernet Sauvignon from a prominent site, this wine boasts bright, juicy red cassis and pomegranate fruit supported by complex layers of dried herb, coconut and pencil shavings. Ready to enjoy now and through 2021, it finishes with a taste of bittersweet chocolate.",Beckstoffer To Kalon Vineyard,94,185.0,California,Napa Valley,Napa,Cabernet Sauvignon,B Cellars
6521,US,"From the mountains above the winery, this blends 39% Cabernet Sauvignon, 34% Cabernet Franc, 24% Petit Verdot and 3% Malbec. The result is a harmonious palate of dried herb, cedar and pungent violet flavors. Full-bodied concentration makes it rugged, accented with toasted oak.",,90,100.0,California,Moon Mountain District Sonoma County,Sonoma,Bordeaux-style Red Blend,Kunde
6525,US,"Softly structured and boldly ripe, this 100% varietal wine from the famous site shows strong red cherry and raspberry fruit wrapped in swathes of cinnamon and clove. Full bodied and firm in tannins, it delivers chocolate and tobacco accents to complement the fruit.",Missouri Hopper Vineyard,90,135.0,California,Oakville,Napa,Cabernet Sauvignon,Amici
6557,Italy,"This shows evolved aromas of stewed plum, resin, varnish and leather with a whiff of vanilla. The palate offers dried black cherry steeped in spirits, black pepper, notes of espresso, mocha and baking spice alongside soft, muted tannins. Drink through 2018.",Riserva,89,125.0,Piedmont,Barolo,,Nebbiolo,Mario Gagliasso
6563,Italy,"From one of the most esteemed vineyards in the denomination, this features aromas of oak, toast, black berry and a whiff of rubber. The palate offers plum, black cherry, roasted coffee bean, spearmint and vanilla alongside bracing tannins.",Asili,89,195.0,Piedmont,Barbaresco,,Nebbiolo,Ceretto
6733,US,"This is a 100% varietal, vineyard-designated wine, impressive in its ability to provide lush richness within a balanced context. Dark and thick, it opens with blackberry, mocha and spicy clove flavors. Although syrupy, it maintains freshness on the palate.",Holy Smoke Vineyard,92,125.0,California,Oakville,Napa,Cabernet Sauvignon,Flora Springs
6736,US,"This big, bold blend of 40% Cabernet Sauvignon, 40% Petit Verdot and smaller amounts of Malbec and Merlot is powerfully built, with firm, integrated tannins that feel chalky and dusty. Black currant and cherry flavors dominate, with waves of tobacco and dark chocolate leading to a soft, lingering finish. This will cellar well, to be enjoyed 2023–2028.",Reserve,92,135.0,California,Diamond Mountain District,Napa,Bordeaux-style Red Blend,Von Strasser
6737,Italy,"French oak, coconut, cassis, menthol and coffee aromas lead the nose of this structured red. Made entirely from Merlot, it's densely concentrated, offering mature plum, black currant, dried sage, anise and espresso flavors. Firm, close-grained tannins give the finish grip. Drink 2018–2025.",Messorio,92,300.0,Tuscany,Toscana,,Merlot,Le Macchiole
6938,US,"Dark and dense, this is sourced from the winery's own Sacrashe property in the hillsides of Rutherford, as well as Bergfeld Vineyard. The wine has a concentrated and jammy quality that doesn't step over the edge. It offers anise, blackberry, black currant and dried herb around a soft, rounded mouthfeel and long finish. Enjoy 2021–2026.",Kathryn Hall,93,135.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hall
6949,US,"A complete wine in every way, this limited (three barrel) reserve opens with solid bass notes of thick wood and dark fruit. That platform of black cherry and cassis is adorned with light touches of pepper, vanilla, mocha and the streak of iron that seems to characterize many McMinnville wines. Drink 2015 through 2030.",Founders' Selection,93,100.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Hyland
6957,US,"Densely colored and nearly opaque in the glass, this offers aromas of black cherry syrup, strong black licorice and chicory, with lifting scents of chopped herbs and black pepper. It's velvety and dense on the palate, with purple and dark red fruits, black herbs and an even tannic grip.",,93,110.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Tanner DaFoe
7299,Spain,"This is the granddaddy in the Emilio Moro portfolio, but the wine is so ripe and oaky it's syrupy-smelling. Maximum ripeness means it's a bit Port-like on the palate, with baked black-fruit flavors that finish soft and jammy. This brims with power, extraction and flavor but it's grasping for structure. Drink through 2019.",Clon de la Familia,93,450.0,Northern Spain,Ribera del Duero,,Tinto Fino,Emilio Moro
7313,Spain,"Flush on the nose, this huge, modern Rioja is loaded with cassis, blackberry and cola aromas. The palate is bold, tannic and flush, with fierceness playing off against lushness. Savory blackberry, hickory and controlled saltiness drive the flavor profile toward a roasted, spicy, blackened finish that's rugged and suggests a long life for this wine. Drink 2016–2024.",Aro,93,195.0,Northern Spain,Rioja,,Tempranillo Blend,Muga
7314,Argentina,"Dusty cherry, wild berry and minerally aromas comprise a compact, deep nose that's entirely inviting. Juicy, bold and bright on the palate, with sturdy tannins, this offers exotic notes of cumin and baking spices along with wild berry flavors. It's elegant, complete and thorough on the finish; drink through 2020.",Finca Bella Vista,93,140.0,Mendoza Province,Luján de Cuyo,,Malbec,Achaval-Ferrer
7319,Germany,"Initial whiffs of nuts and bruised apple blow away, revealing radiant aromas of marmalade and honey on this unctuous yet delicate wine. A shock of lemony acidity jolts the palate, but recovery comes quickly with plush peach and tangerine sweetness. The finish is silky smooth and endless.",Kiedrich Gräfenberg Beerenauslese,93,365.0,Rheingau,,,Riesling,Robert Weil
7323,Spain,"Crisp clean white-fruit aromas come with a hint of clover. This is mellow and mature on the palate, with nothing aggressive or edgy. Dry, peppery, yeasty flavors show little overt fruit, while this offers a hint of green melon on a dry complex finish.",Magnum Gran Reserva Brut Nature,92,150.0,Catalonia,Cava,,Sparkling Blend,Agustí Torelló Mata
7334,Italy,"This all- Cabernet Franc bottling opens with cassis, mocha, graphite and bell pepper aromas. The concentrated palate delivers black currant, raspberry jam, clove and oak-derived spice flavors, with assertive but polished tannins. Drink through 2023.",Paleo Rosso,92,110.0,Tuscany,Toscana,,Cabernet Franc,Le Macchiole
7344,France,"Firm and structured, this is a dark still-young wine. With a strong tannic core, it is concentrated, the black fruits are firmly in the throes of the tannins. Give this impressively serious second wine of Haut-Brion time. Drink from 2022.",Le Clarence de Haut-Brion,92,156.0,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Haut-Brion
7591,Germany,"Initial whiffs of nuts and bruised apple blow away, revealing radiant aromas of marmalade and honey on this unctuous yet delicate wine. A shock of lemony acidity jolts the palate, but recovery comes quickly with plush peach and tangerine sweetness. The finish is silky smooth and endless.",Kiedrich Gräfenberg Beerenauslese,93,365.0,Rheingau,,,Riesling,Robert Weil
7597,US,"Just one barrel was made of this reserve. At first the new oak shines through, then as it opens out the wood becomes less noticeable and a complex array of spice, stem and iron filings comes into play. The fruit is light and textural, showing hints of sassafras and even a whiff of petrol.",Select Whole Cluster,92,150.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Hyland
7604,Portugal,"Foot trodden in traditional open granite lagars, this is an elegant wine. Ripe black plum jelly flavors are balanced by firm tannins and a fresher edge. It's a wine that will develop over a long time, although with its fruit it's almost ready to drink now. Ideally, though, keep it until 2025.",Adelaide Vintage,92,110.0,Port,,,Port,Quinta do Vallado
7608,Argentina,"Black currant, cherry, plum and floral aromas form a nose with freshness as well as power. Lively, layered and fruity on the palate, this single-vineyard Malbec is lightly herbal and toasty, with wild berry flavors leading the charge. A tight, firm finish with raspberry and red-currant flavors ensures that this will stand the test of time. Best 2016–2022.",Finca Altamira,92,140.0,Mendoza Province,Luján de Cuyo,,Malbec,Achaval-Ferrer
7613,Italy,"Rich and structured, this single-vineyard offering delivers sensations of ripe black cherry, crushed blackberry, black pepper, cinnamon and mocha. Polished tannins support the juicy flavors and give a smooth texture.",Deliella,92,100.0,Sicily & Sardinia,Sicilia,,Nero d'Avola,Feudo Principi di Butera
7636,Australia,"Full bodied, creamy and rich, this wine will undoubtedly please Torbreck fans and provide another piece of ammo for critics. Tasted blind, I wrote, “Torbreck-like nose of lifted spice and stewed berries.” There's a hint of mint as well. Mixed berries and brown sugar notes mingle easily on the palate, while a touch of dried fruit (not a positive) creeps in on the finish. Drink now–2025.",Descendant,92,125.0,South Australia,Barossa Valley,,Shiraz-Viognier,Torbreck
7650,Italy,"This opens with aromas of oak, toast, licorice, coconut and sugared plum. The taut palate offers dried cherry, star anise and a green note of powdered sage but not a lot of fruit richness. Raspy tannins leave a tongue-drying finish.",Riserva,87,325.0,Tuscany,Brunello di Montalcino,,Sangiovese,Argiano
7691,Spain,"Name and reputation get you only so far, as this underwhelming offering from a poor vintage proves. Compact stewy aromas of baked berry fruits and asphalt are the appetizer. A main course of chunky jammy stewy berry and prune flavors finishes with a desiccated essence. Unico is known to age for decades, but not this vintage. Drink now for what it's worth.",Unico,89,500.0,Northern Spain,Ribera del Duero,,Tempranillo-Cabernet Sauvignon,Vega Sicilia
7796,France,"This is full of fruit and weighty tannins. Coming from one of the finest vineyards in Burgundy, it is going to have great power and an opulent nature. This wine also has elegance, its black fruits controlled and with a mineral edge. That doesn't take away the power, it enhances the stylishness of this grand wine. Drink from 2020.",,96,240.0,Burgundy,Chambertin,,Pinot Noir,Domaine Rossignol-Trapet
7798,France,"Initially, this is a richly ripe wine with tropical fruit flavors. It also has an immense sense of structure that supports the fruit impressively. It's dense, concentrated, exuding power and solidity, while always keeping a sense of elegance. Drink from 2018.",,96,315.0,Burgundy,Chevalier-Montrachet,,Chardonnay,Bouchard Père & Fils
7799,France,"This is powerful and rich, allowing just a note of freshness to creep into the firm structure. Dark tannins, black fruits and smoky wood flavors combine harmoniously, lending a sense of great power and long-term aging potential. Drink from 2019.",Le Corton,96,115.0,Burgundy,Corton,,Pinot Noir,Bouchard Père & Fils
7934,Argentina,"Stout aromas of ripe blackberry and cassis come with mocha and dry spice notes on the nose of this Malbec-Cabernet Sauvignon blend. A firm mouthfeel with grinding tannins is a good set up to oaky, ripe berry flavors accented by wood grain, cocoa and cinnamon notes. Plenty of oak graces a long, ripe, solid finish. Drink through 2018.",Gran Vu Blend,92,120.0,Mendoza Province,Uco Valley,,Malbec-Cabernet Sauvignon,Salentein
7938,Spain,"Briary berry, tobacco, hickory and spice flavors dominate the nose on this smoky-smelling modern Rioja. This vintage of Amancio, one of Sierra Cantabria's flashiest small-volume wines, is round, meaty and expansive in feel, with oaky flavors of blackberry and bacon. A grabby, spongy, wide finish is savory and oaky in flavor. Give this until 2016, then drink through 2022.",Amancio,92,145.0,Northern Spain,Rioja,,Tempranillo Blend,Sierra Cantabria
7946,Argentina,"Oaky lead aromas fold in can't-miss spicy scents of clove, allspice and cinnamon. The palate on this blend of Malbec, Cabernet Sauvignon and Merlot is dense but light on its feet. Flavors of oaky raspberry, cassis and cocoa powder finish toasty, rooty and with a fine feel. Drink through 2019.",Conjuro,92,120.0,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Bressia
8070,France,"From vines owned by the Chanson family, this is a wonderfully rich wine, deliciously fruity at the same time. Apple and citrus as well as richer apricots come through powerfully. It's structured with a sense of opulence, richness that also has a tight texture. It needs to age; drink from 2019.",Héritiers Paul Chanson,95,187.0,Burgundy,Corton Vergennes,,Chardonnay,Domaine Chanson
8071,France,"Rounded and rich, it is full of dark fruits and red cherries that combine with firm tannins and great acidity. This comes from a parcel of the Corton Rognets Grand Cru that unusually has been given the Faiveley name. Drink from 2020.",Clos des Cortons Faiveley,95,225.0,Burgundy,Corton-Rognet,,Pinot Noir,Domaine Faiveley
8072,France,"This is the big one, one of the most treasured white wine vineyards in the world. And the wine is magnificent, balanced with restrained power and style. Yellow fruits are shot through with acidity that conveys a nervy texture and an intense, concentrated character. This needs many years; don't drink before 2020.",,95,520.0,Burgundy,Montrachet,,Chardonnay,Louis Latour
8074,France,"A small, acre-sized parcel gives a wine that has both great structure and finesse. It retains the natural fruitiness of the vintage as well as a more defined texture. Concentration and densely ripe fruit are already finely integrated with the hints of wood. The wine speaks of long aging potential; don't drink before 2019.",,95,300.0,Burgundy,Chambertin Clos de Bèze,,Pinot Noir,Chanson Père et Fils
8075,France,"This special wine begins with stunning aromas of cedar, roasted meat and ripe raspberries, then adds savory notes of espresso and black olives to create a harmonious blend of fruity and savory elements. It's full bodied yet supple, with a long, fruit-filled finish. Already enjoyable, it should age well for at least 10 years.",Les Chirats de Saint-Christophe,95,120.0,Rhône Valley,Hermitage,,Syrah,Les Vins de Vienne
8079,France,"From the cool east face of the vineyard, this is crisp and tight, less opulent than some Corton-Charlemagne. It makes up in its rich structure, weight and tropical fruit flavors that are sliced by acidity. There is some kerosene along with these exotic fruits, and the wine does need to age. Drink from 2018.",,95,140.0,Burgundy,Corton-Charlemagne,,Chardonnay,Bouchard Père & Fils
8080,France,"This dark, brooding wine is still tight and closed. It's powerful and concentrated, with gripping tannins as well as delicious black fruits. It's solid, chunky and very firm while retaining the generous fruitiness of the vintage. Don't drink before 2020.",,95,180.0,Burgundy,Clos de Vougeot,,Pinot Noir,Alex Gambal
8082,France,"This is richly powerful, packed with dark plum fruits and solid, concentrated tannins. At this stage, it is closed, a potential powerhouse of firm fruits and structure. It has weight, the fruit and the firm texture all promising long-term aging. Drink from 2020.",,95,170.0,Burgundy,Chapelle-Chambertin,,Pinot Noir,Domaine Rossignol-Trapet
8083,France,"Power and concentration exude from this wine. Very structured, very firm, it has solid tannins backed up by powerful black, juicy fruits. Blackberry flavors are still developing in this seriously ageworthy wine. Drink from 2020.",,95,200.0,Burgundy,Latricières-Chambertin,,Pinot Noir,Alex Gambal
8084,France,"Rich and full-bodied, the flavors of quince and pear are balanced by great acidity. It is a big, powerful wine that, with its tight fruit and steely background, promises long aging. The tropical fruits also need several years to show strongly. Drink from 2018.",,94,428.0,Burgundy,Bâtard-Montrachet,,Chardonnay,Domaine Faiveley
8093,France,"A firmly structured wine, packed with fruit, acidity and complex tannins. It is powerful, dark and rich with great weight to balance the dry, smoky character from wood aging. It's impressive, concentrated with a touch of licorice and spice that  cuts through the acidity. Drink from 2020.",,94,257.0,Burgundy,Latricières-Chambertin,,Pinot Noir,Domaine Faiveley
8141,US,"This 100% Cabernet Sauvignon is aged 43 months in new French oak. The oak is indeed dominant here, enveloping more subdued layers of savory leather, dark berry and cassis. Firm, substantial tannins hit on the back of the throat and coat the palate all the way through the long finish.",Yoeman Vineyard Plus,88,150.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Goldschmidt
8282,US,"From a highly sought-after source of Cabernet, this is classically oaky and dusty, a sophisticated take on the grape, dense and soft in waves of black cherry. With medium weight that picks up steam on the milk-chocolate finish, it's an impressive sipper or worthy companion to steak and potatoes.",Morisoli Vineyard,92,125.0,California,Rutherford,Napa,Cabernet Sauvignon,Hunt McKay
8296,Italy,"A blend of 70% Petit Verdot and 30% Cesanese, this opens with aromas of scorched earth, smoke, black-skinned fruit, coconut and a touch of exotic spice. The silky, weightless palate delivers concentrated black cherry, blackberry, mineral and Asian spice alongside silky, smooth tannins. The smoky notes are unusual, and originate from a fire that raged near the vineyards in 2012, but nonetheless add to the wine's depth and character.",Franchetti,92,149.0,Sicily & Sardinia,Terre Siciliane,,Red Blend,Passopisciaro
8431,France,"Despite being barrel fermented and matured, this Condrieu retains a remarkable amount of varietal character in its flamboyantly floral and spicy aromas. It's full bodied, broad and richly textured, yet avoids any sense of heaviness, finishing on hints of honey and white pepper. Drink now–2020.",La Doriane,94,140.0,Rhône Valley,Condrieu,,Viognier,E. Guigal
8435,France,"This impressive offering is drawn from the cooperative's own domaine. It's full bodied and firm, with a chewy finish that demands cellaring, but the complex aromas and flavors of cedar, cassis, roasted meat, licorice and cracked peppercorns are compelling even now.",Gambert de Loche,94,140.0,Rhône Valley,Hermitage,,Syrah,Cave de Tain
8437,France,"A specialty of Chanson, this small premier cru gives a perfumed, dark and tannic wine. The dense, firm structure gives a dramatic base to the ripe black fruits, balanced acidity and a touch of wood that smoothes the wine. Drink from 2018.",Clos des Fèves Premier Cru,94,100.0,Burgundy,Beaune,,Pinot Noir,Domaine Chanson
8438,France,"Big, ripe and fruity, it combines a rich character along with the firmest tannins and dense structure. Acidity adds a touch of freshness, while the structure and full fruit are concentrated and still young. Give this solid, dark wine at least until 2020.",,94,294.0,Burgundy,Mazis-Chambertin,,Pinot Noir,Domaine Faiveley
8439,France,The right sense of weight and structure are allied with gorgeous fruitiness and freshness. This winning combination shows black fruits and a brooding character that needs time. Drink from 2018.,,94,195.0,Burgundy,Charmes-Chambertin,,Pinot Noir,Domaine René Bouvier
8441,France,"A wine from a tiny premier cru that is literally situated at a crossroads. It displays the smoothness and richness that come with wood aging, as well as concentrated tannins to support the generous fruit. Black plums and strawberries give a dense wine that will age. Drink from 2018.",Aux Echanges Premier Cru,94,130.0,Burgundy,Chambolle-Musigny,,Pinot Noir,Alex Gambal
8443,Spain,"This single-vineyard Rioja is smooth, pure and elegant. Aromas of lemon peel, tobacco, cookie dough, marzipan, spiced plum and cassis set up a lush, deep palate with saturated flavors of wild raspberry, ripe plum, chocolate and fig. Compelling notes of licorice and chocolate are accompanied by a touch of youthful heat and burn on the finish. Best from 2015 through 2025.",Viña El Pison,94,350.0,Northern Spain,Rioja,,Tempranillo Blend,Artadi
8444,France,"One of the flagship wines of Louis Latour, this has great weight, richness and ripe yellow fruits, all surrounded by wood and citrus flavors. A sense of mineral in the texture adds complexity, while the firm structure needs to age. Drink from 2018.",,94,140.0,Burgundy,Corton-Charlemagne,,Chardonnay,Louis Latour
8445,France,"While this wine comes out of the gate showing little but earth and dark fruit aromas, it lightens and develops more delineation with air, eventually revealing berry, plum and spice notes. Right now, the flavors are almost jammy, so purists may want to wait a few years before opening a bottle. Full-bodied, chewy and rich, this superripe Hermitage should age well for up to 15 years.",Ermitage,94,100.0,Rhône Valley,Hermitage,,Syrah,Maison Nicolas Perrin
8446,Spain,"Ripe, muscular aromas of forest floor, blackberry, cassis and violet are stunningly attractive. This is showing vise-grip tannins in support of blackberry, licorice, mocha and woodspice flavors. Café mocha and an oaky, creamy note of toffee work the finish on this well-structured wine that should be drunk from 2015–2025.",Tinus,94,300.0,Northern Spain,Ribera del Duero,,Tempranillo,García Figuero
8448,France,"This is a powerful wine with complex structure, dense fruits and a solid texture. It's dry, firm, dark and still very young. The core of the wine is still tannin, the black cherry fruit giving so much richness before the fresh acidity cuts in. Drink from 2018.",,94,175.0,Burgundy,Corton,,Pinot Noir,Chanson Père et Fils
8450,France,"Very terroir-driven from chalk soil in this great vineyard, this firmly structured wine is powerful and solid. There is a mineral character at this stage of the wine's development, with 60% new wood giving a lightly smoky feel. Drink from 2017.",Les Suchots Premier Cru,94,166.0,Burgundy,Vosne-Romanée,,Pinot Noir,Domaine Chantal Lescure
